date,date_modifiee,heure,heure_modifiee,journee,numero,locaux,visiteurs,poule,arbitre1,arbitre2,score_locaux,score_visiteurs
09/10/2021,y,18H30,,2,A05,AIX,PDCGUC,N3A,Filoni,Favry,10,12
16/10/2021,,20H00,,1,A01,ONDAINE,VILLEFONTAINE,N3A,Ponsot,,8,13
23/10/2021,y,20H00,,6,B18,ANNEMASSE,SEYNOD,N3B,Ponsot,,7,5
23/10/2021,,19H00,y,1,B01,LA  BIEVRE,VILLEFRANCHE,N3B,Mazurier,,5,23
23/10/2021,,18H00,y,1,C01,LYON-RHONE,CHAMALIERES,N3C,Forjan,,12,10
23/10/2021,,19H30,y,1,C02,MOULINS,CHENOVE,N3C,Planchon R.,,10,18
23/10/2021,y,20H15,y,1,A03,RILLIEUX,AIX,N3A,Favry,,13,15
23/10/2021,,19H15,y,1,B02,RILLIEUX 2,ANNONAY ,N3B,Favry,,16,7
06/11/2021,y,20H00,,6,C18,BOURG,VILLEFRANCHE 2,N3C,Filoni,,14,10
13/11/2021,,20H00,,2,B05,ANNEMASSE,RILLIEUX 2,N3B,Merlet,,10,3
13/11/2021,,20H30,,2,B06,ANNONAY ,LA  BIEVRE,N3B,Planchon R.,,14,7
13/11/2021,y,19H30,y,2,A06,ECHIROLLES,ONDAINE,N3A,Forjan,,12,8
13/11/2021,y,20H00,,7,C20,MOULINS,BOURG,N3C,Sedilliere,Peden,20,13
13/11/2021,y,20H00,,7,B19,SEYNOD,VILLEFRANCHE,N3B,Ponsot,,2,24
20/11/2021,y,18H30,,8,A23,AIX,ONDAINE,N3A,Mazurier,,16,10
20/11/2021,y,20H30,,2,C06,CHENOVE,LYON-RHONE,N3C,Ponsot,,11,8
20/11/2021,,19H30,y,3,A07,ECHIROLLES,VILLEFONTAINE,N3A,Forjan,,9,12
27/11/2021,,20H30,,3,B07,ANNONAY ,VILLEFRANCHE,N3B,Ponsot,,10,16
27/11/2021,,19H00,y,3,B08,LA  BIEVRE,ANNEMASSE,N3B,Favry,,5,6
27/11/2021,,18H50,,3,C08,LYON-RHONE,BOURG,N3C,Forjan,,18,16
27/11/2021,y,20H00,,7,A19,RILLIEUX,VILLEFONTAINE,N3A,Filoni,,11,13
27/11/2021,,20H00,,3,B09,RILLIEUX 2,SEYNOD,N3B,Filoni,,11,18
04/12/2021,,20H00,,4,A11,RILLIEUX,ONDAINE,N3A,Ponsot,,12,12
04/12/2021,,20H15,,4,A10,VILLEFONTAINE,PDCGUC,N3A,Forjan,,15,9
07/12/2021,y,20H30,y,4,A12,AIX,ECHIROLLES,N3A,Favry,,17,4
11/12/2021,,20H00,,4,B12,ANNEMASSE,ANNONAY ,N3B,Merlet,,4,9
11/12/2021,,20H00,,4,C12,BOURG,CHENOVE,N3C,Planchon R.,,8,23
11/12/2021,y,19H30,y,9,C25,MOULINS,CHAMALIERES,N3C,Bouhadida,,12,5
11/12/2021,,20H00,,4,B11,SEYNOD,LA  BIEVRE,N3B,Ponsot,,25,6
