date,date_modifiee,heure,heure_modifiee,journee,numero,locaux,visiteurs,poule,arbitre1,arbitre2,score_locaux,score_visiteurs
11/12/2021,,19H30,,4,B10,VILLEFRANCHE,RILLIEUX 2,N3B,Favry,,14,6
11/12/2021,,21H00,,4,C11,VILLEFRANCHE 2,LYON-RHONE,N3C,Favry,,6,21
18/12/2021,,19H30,y,5,A14,ECHIROLLES,RILLIEUX,N3A,Favry,,10,10
08/01/2022,,19H30,y,6,A18,AIX,RILLIEUX,N3A,Filoni,,22,12
08/01/2022,y,20H30,,5,C14,CHENOVE,VILLEFRANCHE 2,N3C,Mazurier,,30,11
08/01/2022,y,19H30,y,1,A02,PDCGUC,ECHIROLLES,N3A,Favry,,8,10
08/01/2022,,20H15,,6,A16,VILLEFONTAINE,ONDAINE,N3A,Forjan,,19,9
15/01/2022,,20H30,,5,B14,ANNONAY ,SEYNOD,N3B,Favry,,14,15
15/01/2022,,20H00,,5,C13,BOURG,CHAMALIERES,N3C,Forjan,,13,11
15/01/2022,,19H00,y,5,B15,LA  BIEVRE,RILLIEUX 2,N3B,Mazurier,,9,10
15/01/2022,,18H50,,5,C15,LYON-RHONE,MOULINS,N3C,Planchon R.,,14,13
15/01/2022,y,20H00,,7,A20,PDCGUC,AIX,N3A,Filoni,,10,20
22/01/2022,y,20H00,,5,B13,ANNEMASSE,VILLEFRANCHE,N3B,Ponsot,,2,9
27/01/2022,y,19H50,y,6,A17,ECHIROLLES,PDCGUC,N3A,Forjan,,10,9
29/01/2022,,20H30,,6,B17,ANNONAY ,RILLIEUX 2,N3B,Favry,,17,16
29/01/2022,,18H40,,6,C16,CHAMALIERES,LYON-RHONE,N3C,Mazurier,,5,14
29/01/2022,,20H30,,6,C17,CHENOVE,MOULINS,N3C,Bouhadida,,18,14
29/01/2022,y,20H00,,1,B03,SEYNOD,ANNEMASSE,N3B,Ponsot,,6,3
29/01/2022,y,21H00,,1,C03,VILLEFRANCHE 2,BOURG,N3C,Ponsot,,12,17
05/02/2022,y,18H40,,2,C04,CHAMALIERES,VILLEFRANCHE 2,N3C,Jadeau,,28,9
05/02/2022,y,20H00,,3,A08,ONDAINE,AIX,N3A,Mazurier,,12,14
05/02/2022,y,19H00,y,3,A09,PDCGUC,RILLIEUX,N3A,Favry,,6,12
05/02/2022,y,20H15,,8,A22,VILLEFONTAINE,ECHIROLLES,N3A,Merlet,,16,9
09/02/2022,y,21H00,y,2,A04,VILLEFONTAINE,RILLIEUX,N3A,Forjan,,13,8
10/02/2022,y,19H30,y,9,A27,ECHIROLLES,AIX,N3A,Favry,,12,8
26/02/2022,y,20H00,,2,C05,BOURG,MOULINS,N3C,Salle,,11,12
26/02/2022,,18H50,,7,C21,LYON-RHONE,CHENOVE,N3C,Forjan,,8,13
26/02/2022,y,20H00,y,8,A24,RILLIEUX,PDCGUC,N3A,Mazurier,,12,10
26/02/2022,,20H00,,7,B20,RILLIEUX 2,ANNEMASSE,N3B,Mazurier,,9,7
26/02/2022,y,19H30,,2,B04,VILLEFRANCHE,SEYNOD,N3B,Favry,,20,8
26/02/2022,,21H00,,7,C19,VILLEFRANCHE 2,CHAMALIERES,N3C,Favry,,14,22
05/03/2022,y,19H00,y,7,B21,LA  BIEVRE,ANNONAY ,N3B,Favry,,6,19
05/03/2022,y,20H00,,3,C09,MOULINS,VILLEFRANCHE 2,N3C,Achotegui,,17,10
05/03/2022,,20H00,,9,A26,ONDAINE,RILLIEUX,N3A,Mazurier,,5,8
05/03/2022,,20H00,,9,A25,PDCGUC,VILLEFONTAINE,N3A,Forjan,,6,22
12/03/2022,,20H00,,8,B23,ANNEMASSE,LA  BIEVRE,N3B,Forjan,,14,7
12/03/2022,,20H00,,8,C23,BOURG,LYON-RHONE,N3C,Merlet,,7,16
12/03/2022,,18H40,,8,C22,CHAMALIERES,CHENOVE,N3C,Jadeau,,13,14
12/03/2022,y,20H00,,7,A21,ONDAINE,ECHIROLLES,N3A,Mazurier,,10,9
12/03/2022,,20H00,,8,B24,SEYNOD,RILLIEUX 2,N3B,Favry,,11,12
19/03/2022,y,20H00,,5,A15,ONDAINE,PDCGUC,N3A,Mazurier,,8,7
19/03/2022,,20H15,,10,A28,VILLEFONTAINE,AIX,N3A,Favry,,11,17
19/03/2022,y,19H30,y,8,B22,VILLEFRANCHE,ANNONAY ,N3B,Ponsot,Forjan,30,13
19/03/2022,y,21H00,,8,C24,VILLEFRANCHE 2,MOULINS,N3C,Forjan,Ponsot,11,24
26/03/2022,y,18H40,y,4,C10,CHAMALIERES,MOULINS,N3C,Mazurier,,9,14
26/03/2022,,20H30,,9,C27,CHENOVE,BOURG,N3C,Jadeau,,24,10
26/03/2022,,19H00,y,9,B26,LA  BIEVRE,SEYNOD,N3B,Merlet,,7,18
26/03/2022,,18H50,,9,C26,LYON-RHONE,VILLEFRANCHE 2,N3C,Forjan,,,
26/03/2022,y,20H15,y,10,A29,RILLIEUX,ECHIROLLES,N3A,Ponsot,,16,13
26/03/2022,,19H15,y,9,B25,RILLIEUX 2,VILLEFRANCHE,N3B,Ponsot,,9,22
26/03/2022,y,18H30,,5,A13,AIX,VILLEFONTAINE,N3A,Favry,Filoni,23,7
27/03/2022,y,13H30,,3,C07,CHENOVE,CHAMALIERES,N3C,Jadeau,,,
02/04/2022,y,20H30,,9,B27,ANNONAY ,ANNEMASSE,N3B,Ponsot,,,
02/04/2022,y,20H00,,10,A30,PDCGUC,ONDAINE,N3A,Favry,,,
02/04/2022,Y,19H30,y,6,B16,VILLEFRANCHE,LA  BIEVRE,N3B,Forjan,,,
09/04/2022,,18H40,,10,C28,CHAMALIERES,BOURG,N3C,Mazurier,,,
09/04/2022,,21H00,,10,C30,MOULINS,LYON-RHONE,N3C,Jadeau,,,
09/04/2022,,20H00,,10,B30,RILLIEUX 2,LA  BIEVRE,N3B,Favry,,,
09/04/2022,,20H00,,10,B29,SEYNOD,ANNONAY ,N3B,Filoni,,,
09/04/2022,,19H30,,10,B28,VILLEFRANCHE,ANNEMASSE,N3B,Ponsot,Forjan,,
09/04/2022,,21H00,,10,C29,VILLEFRANCHE 2,CHENOVE,N3C,Forjan,Ponsot,,
21/11/2021,,13H30,,2,17,Annonay B,Givors,U13,,,5,21
21/11/2021,,13H45,,2H,13,Aix,Moulins,U13,Favry,,23,7
21/11/2021,,15H00,,2,18,Givors,Rillieux,U13,,,28,15
21/11/2021,,15H15,,2H,14,Villefranche,Pdcguc,U13,Favry,,22,2
21/11/2021,,16H30,,2,19,Annonay B,Rillieux,U13,,,7,20
21/11/2021,,16H45,,2H,15,Aix,Villefranche,U13,Favry,,16,17
21/11/2021,,18H00,,2H,16,Moulins,Pdcguc,U13,Favry,,13,9
12/12/2021,,13h30,,3,24,Annonay B,Rillieux,U13,Mazurier,,3,23
12/12/2021,,14h00,,3H,20,Moulins,Givors,U13,,,20,3
12/12/2021,,14h45,,3,25,Rillieux,Pdcguc,U13,Mazurier,,12,12
12/12/2021,,15h00,,3H,21,Villefranche,Aix,U13,,,22,6
12/12/2021,,16h00,,3H,22,Givors,Aix,U13,,,2,22
12/12/2021,,16h00,,3,26,Annonay B,Pdcguc,U13,Mazurier,,4,24
12/12/2021,,17h00,,3H,23,Moulins,Villefranche,U13,,,5,18
09/01/2022,,13h30,,4H,27,Villefranche,Moulins,U13,Favry,,24,4
09/01/2022,,14h00,,4,30,Givors,Pdcguc,U13,,,,
09/01/2022,,15h00,,4H,28,Aix,Moulins,U13,,,21,5
09/01/2022,,15h00,,4,31,Pdcguc,Rillieux,U13,,,,
09/01/2022,,16h00,,4,32,Givors,Rillieux,U13,,,,
09/01/2022,,16h30,,4H,29,Villefranche,Aix,U13,,,22,13
30/01/2022,,14h25,,5H,33,Pdcguc,Moulins,U13,Ponsot,,13,5
30/01/2022,,15h50,,5H,34,Villefranche,Moulins,U13,Ponsot,,23,6
30/01/2022,,17h15,,5H,35,Pdcguc,Villefranche,U13,Ponsot,,4,24
30/01/2022,,14h00,,5B,41,Annonay B,Rillieux,U13,,,2,15
30/01/2022,,15h30,,5B,42,Rillieux,Givors,U13,,,5,17
30/01/2022,,17h00,,5B,43,Annonay B,Givors,U13,,,1,13
06/03/2022,,13h45,,6H,44,Aix,Pdcguc,U13,Forjan,,20,16
06/03/2022,,15h15,,6H,45,Villefranche,Pdcguc,U13,Forjan,,25,5
06/03/2022,,16h45,,6H,46,Aix,Pdcguc,U13,Forjan,,15,24
03/10/2021,,14H00,,1N,1500,GIVORS,PDCGUC,U15,Mazurier,Morat,23,10
03/10/2021,,14H00,,1,1504,MOULINS,CHENOVE,U15,,,6,3
03/10/2021,,15H15,,1H,1501,VILLEFRANCHE,AIX,U15,Favry,Filoni,18,7
03/10/2021,,16H30,,1H,1503,VILLEFRANCHE,GIVORS,U15,Favry,Filoni,18,16
03/10/2021,,17H45,,1H,1502,AIX,PDCGUC,U15,Favry,Filoni,25,5
17/10/2021,,13H00,,2,1508,CHENOVE,MOULINS,U15,Vial,,2,22
17/10/2021,,13H30,,2H,1505,AIX,VILLEFRANCHE,U15,Merlet,Karas A.,14,13
17/10/2021,,15H00,,2H,1506,VILLEFRANCHE,GIVORS,U15,Merlet,Printemps,14,19
17/10/2021,,16H30,,2H,1507,AIX,GIVORS,U15,Merlet,Karas A.,12,11
07/11/2021,,14H00,,3H,1509,PDCGUC,AIX,U15,Filoni,Nicol,14,15
07/11/2021,,14H00,,3,1516,ANNONAY B,RILLIEUX,U15,,,11,17
07/11/2021,,15H15,,3H,1510,VILLEFRANCHE,MOULINS,U15,Filoni,,19,3
07/11/2021,,16H30,,3H,1512,AIX,VILLEFRANCHE,U15,Filoni,,5,24
07/11/2021,,17H45,,3H,1513,PDCGUC,MOULINS,U15,Filoni,,16,15
28/11/2021,,13H00,,4,1520,CHENOVE,ANNONAY,U15,,,8,0
28/11/2021,,13H30,,4,1517,VILLEFRANCHE,MOULINS,U15,,,29,9
28/11/2021,,14H30,,4,1521,RILLIEUX,ANNONAY,U15,,,8,0
28/11/2021,,15H00,,4,1518,AIX,MOULINS,U15,,,18,3
28/11/2021,,16H00,,4,1522,CHENOVE,RILLIEUX,U15,,,11,10
28/11/2021,,16H30,,4,1519,VILLEFRANCHE,AIX,U15,,,21,17
16/01/2022,,13h30,,5H,1527,VILLEFRANCHE,MOULINS,U15,Filoni,,23,16
16/01/2022,,14h25,,5,1523,PDCGUC,ANNONAY,U15,,,12,5
16/01/2022,,15h00,,5H,1528,AIX,MOULINS,U15,,,24,6
16/01/2022,,16h30,,5H,1529,VILLEFRANCHE,AIX,U15,,,22,22
06/02/2022,,13h30,,6H,1531,VILLEFRANCHE,MOULINS,U15,,,22,4
06/02/2022,,14h25,,6H,1530,PDCGUC,AIX,U15,Favry,,3,23
06/02/2022,,15h00,,6H,1532,AIX,VILLEFRANCHE,U15,,,16,17
06/02/2022,,16h30,,6H,1533,PDCGUC,MOULINS,U15,,,9,12
06/02/2022,,13h45,,6,1534,ANNONAY B,CHENOVE,U15,,,2,14
06/02/2022,,15H00,,6,1535,CHENOVE,RILLIEUX,U15,,,18,17
06/02/2022,,16h15,,6,1536,ANNONAY B,RILLIEUX,U15,,,6,19
10/10/2021,,14H00,,1,1703,AIX,Villefranche,U17,Filoni,,23,14
21/11/2021,,13H30,,1,4,Villefranche,Rillieux,U17,,,11,3
21/11/2021,,14H00,,1,5,Rillieux,Pdcguc,U17,,,10,3
21/11/2021,,14H30,,1,6,Villefranche,Pdcguc,U17,,,8,5
21/11/2021,,15H00,,1,7,Givors,Moulins,U17,Mazurier,,2,11
21/11/2021,,15H30,,1,8,Givors,Rillieux,U17,Mazurier,,,
21/11/2021,,16H00,,1,9,Moulins,Rillieux,U17,,,13,0
21/11/2021,,16H30,,1,10,Givors,Pdcguc,U17,Mazurier,,9,1
21/11/2021,,17H00,,1,11,Moulins,Pdcguc,U17,,,9,2
21/11/2021,,17H30,,1,12,Moulins,Villefranche,U17,,,5,2
21/11/2021,,18H00,,1,13,Givors,Villefranche,U17,Mazurier,,3,6
12/12/2021,,13H30,,3,14,Villefranche,Moulins,U17,Favry,,14,24
12/12/2021,,14H5,,3,15,Aix,Rillieux,U17,Favry,,23,3
12/12/2021,,16H00,,3,16,Moulins,Aix,U17,Favry,,12,16
12/12/2021,,17H15,,3,23,Villefranche,Rillieux,U17,Favry,,19,10
09/01/2022,,13h45,,4H,27,Aix,Moulins,U17,Ponsot,,7,16
09/01/2022,,14H30,,4B,24,Pdcguc,Givors,U17,,,,
09/01/2022,,15h15,,4H,28,Villefranche,Moulins,U17,,,0,8
09/01/2022,,15H50,,4B,25,Rillieux,Givors,U17,,,0,8
09/01/2022,,16h45,,4H,29,Aix,Villefranche,U17,,,8,0
09/01/2022,,17H00,,4B,26,Pdcguc,Rillieux,U17,,,8,0
09/01/2022,,15h00,,5B,33,Pdcguc,Rillieux,U17,,,16,25
20/03/2022,,13h30,,7H,1537,VILLEFRANCHE,CHENOVE,U15,,,26,6
20/03/2022,,14h45,,7H,1538,AIX,MOULINS,U15,,,20,14
20/03/2022,,16h00,,7H,1539,VILLEFRANCHE,AIX,U15,,,24,18
20/03/2022,,17h15,,7H,1540,CHENOVE,MOULINS,U15,,,4,22
20/03/2022,,14h00,,7,1541,RILLIEUX,ANNONAY B,U15,,,14,1
20/03/2022,,1515,,7,1542,GIVORS,PDCGUC,U15,,,11,2
20/03/2022,,16h30,,7,1543,RILLIEUX,GIVORS,U15,,,6,17
20/03/2022,,17h45,,7,1544,ANNONAY B,PDCGUC,U15,,,0,12
03/04/2022,,14h15,,7H,50,Pdcguc,Villefranche,U13,Favry,,7,23
03/04/2022,,15h30,,7H,51,Villefranche,Rillieux,U13,,,27,13
03/04/2022,,17h00,,7H,52,Pdcguc,Rillieux,U13,,,25,2
20/03/2022,,13h30,,1,1,LYON RHONE,MARSEILLE-PROV.,FEM,Filoni,,7,23
20/03/2022,,15h00,,1,2,ECHIROLLES,SEYNOD,FEM,,,10,4
20/03/2022,,16h30,,1,3,LYON RHONE,SEYNOD,FEM,,,15,2
20/03/2022,,18h00,,2,4,ECHIROLLES,MARSEILLE-PROV.,FEM,,,4,10
10/04/2022,,9h30,,2,5,SEYNOD,LYON RHONE,FEM,,,,
10/04/2022,,11h00,,2,6,ECHIROLLES,MARSEILLE-PROV.,FEM,,,,
10/04/2022,,12h15,,2,7,SEYNOD,MARSEILLE-PROV.,FEM,,,,
10/04/2022,,13h30,,2,8,ECHIROLLES,LYON RHONE,FEM,,,,
10/04/2022,,14h45,,2,9,LYON RHONE,MARSEILLE-PROV.,FEM,,,,
10/04/2022,,16h00,,2,10,SEYNOD,ECHIROLLES,FEM,,,,
